                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96347,                 2.5462,                 1.3685,                0.73053,                0.21547,                0.47272,                0.27734,                 1.0815,                 3.4984,                   1.57,             0.00054304,             0.00054304,             0.00054304
                      1,                   1.13,                  2.066,                 1.4341,                0.34082,                0.29737,                0.25291,                0.08996,                  1.841,                 3.8575,                 2.4831,              0.0010715,              0.0010715,              0.0010715
                      2,                 1.2425,                  2.056,                 1.5207,                0.19731,                0.28858,                 0.1421,                0.04597,                 2.1382,                 5.2627,                  2.981,              0.0015725,              0.0015725,              0.0015725
                      3,                 1.3219,                 1.9725,                 1.5753,                0.48406,                0.40193,                0.37786,                0.14941,                   2.01,                 4.4715,                 2.9259,              0.0015432,              0.0015432,              0.0015432
                      4,                 1.2483,                 1.7713,                 1.5244,                 0.3438,                0.44231,                  0.318,                0.16303,                 1.6533,                 2.6746,                 1.9967,              0.0015432,              0.0015432,              0.0015432
                      5,                 1.2737,                 1.7586,                 1.5463,                0.56661,                0.47095,                0.48037,                0.27984,                 1.4318,                 3.3049,                 1.8314,               0.001502,               0.001502,               0.001502
                      6,                  1.265,                 1.6435,                 1.4909,                0.57208,                0.46718,                 0.4415,                 0.2347,                 1.4286,                 3.0802,                 1.8211,              0.0014607,              0.0014607,              0.0014607
                      7,                 1.2006,                 1.5373,                 1.4673,                 0.4985,                0.45719,                0.42187,                  0.234,                  1.354,                 2.4969,                 1.8187,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.1945,                 1.4631,                  1.453,                0.70934,                0.79037,                0.80221,                0.49685,                 1.1818,                 1.4296,                 1.5241,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.0963,                  1.316,                 1.3815,                 0.7616,                0.50572,                0.62566,                0.39701,                 1.2989,                 1.9715,                 1.6449,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.1394,                 1.2715,                 1.4308,                0.64499,                0.65646,                0.69445,                0.45905,                 1.2032,                 1.4779,                 1.5442,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.0681,                 1.2388,                 1.3978,                0.74928,                0.67953,                 0.7662,                0.51805,                 1.1137,                 1.3935,                 1.4897,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.0591,                 1.1838,                 1.3538,                0.81983,                0.57707,                0.76354,                0.50216,                 1.1121,                 1.5021,                 1.4951,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.0704,                  1.187,                 1.3776,                0.62828,                0.59444,                0.62699,                0.44663,                 1.0891,                 1.5822,                 1.4677,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.0625,                 1.1834,                  1.378,                0.77971,                0.71602,                0.78515,                0.52854,                 1.0719,                 1.3449,                 1.4676,              0.0011306,              0.0011306,              0.0011306
                     15,                0.95718,                 1.1093,                 1.3117,                 0.7763,                0.85719,                0.86222,                 0.6065,                  1.003,                  1.138,                 1.3911,              0.0010894,              0.0010894,              0.0010894
                     16,                0.99468,                 1.0589,                 1.3259,                0.83652,                0.81638,                 0.8694,                 0.6452,                0.94108,                 1.0175,                 1.3507,              0.0010481,              0.0010481,              0.0010481
                     17,                0.99682,                 1.0554,                  1.322,                0.75474,                0.77489,                0.80849,                0.55986,                0.98457,                 1.2544,                 1.3697,              0.0010069,              0.0010069,              0.0010069
                     18,                0.94129,                 1.0253,                 1.2936,                0.90657,                0.88428,                0.92077,                0.68673,                0.86802,                0.96436,                 1.2799,             0.00096561,             0.00096561,             0.00096561
                     19,                0.91372,                0.94768,                 1.2692,                0.87597,                0.78202,                0.88962,                0.66045,                0.92605,                0.99701,                 1.3126,             0.00092435,             0.00092435,             0.00092435
                     20,                0.89447,                0.98113,                 1.2571,                0.82858,                0.84474,                0.88263,                0.64479,                0.88082,                 1.0279,                 1.3092,             0.00088309,             0.00088309,             0.00088309
                     21,                0.89913,                0.94514,                 1.2784,                0.85974,                0.84374,                0.90085,                0.66596,                0.93573,                0.94293,                 1.3551,             0.00084184,             0.00084184,             0.00084184
                     22,                0.87864,                0.92425,                 1.2615,                0.77484,                0.83134,                0.87822,                0.64987,                0.90458,                 1.0643,                 1.3395,             0.00080058,             0.00080058,             0.00080058
                     23,                0.87062,                0.92958,                 1.2444,                0.77136,                0.83058,                0.87706,                 0.6744,                0.82831,                 1.0365,                 1.2947,             0.00075932,             0.00075932,             0.00075932
                     24,                0.83496,                0.86522,                 1.2219,                0.91537,                0.85869,                 0.9403,                0.75191,                0.76273,                0.77663,                 1.1952,             0.00071806,             0.00071806,             0.00071806
                     25,                0.84598,                0.84404,                 1.2351,                0.90832,                 0.8931,                0.93395,                0.73037,                0.78197,                0.79394,                 1.2093,              0.0006768,              0.0006768,              0.0006768
                     26,                0.80763,                0.82344,                 1.2105,                0.92285,                0.90666,                0.94639,                0.74258,                0.78311,                0.83039,                 1.2171,             0.00063554,             0.00063554,             0.00063554
                     27,                 0.7736,                0.78807,                  1.177,                0.92304,                0.84473,                0.92631,                0.72998,                0.75962,                0.80972,                 1.1933,             0.00059429,             0.00059429,             0.00059429
                     28,                0.77916,                0.78855,                 1.1829,                 0.9201,                0.85648,                0.93744,                 0.7592,                0.73783,                0.73804,                 1.2009,             0.00055303,             0.00055303,             0.00055303
                     29,                0.77959,                0.75953,                  1.193,                0.88026,                0.93612,                0.93797,                0.74943,                0.76281,                0.78442,                 1.1947,             0.00051177,             0.00051177,             0.00051177
                     30,                0.59155,                0.58188,                 1.0709,                0.90633,                0.90263,                0.93857,                0.74398,                0.76307,                0.78066,                 1.2047,             0.00047051,             0.00047051,             0.00047051
                     31,                0.58782,                0.55549,                 1.0767,                0.90018,                  0.889,                 0.9363,                0.76705,                0.71535,                0.76018,                  1.161,             0.00042925,             0.00042925,             0.00042925
                     32,                0.52793,                0.53013,                 1.0348,                0.90271,                0.90905,                0.94006,                0.76872,                0.67182,                0.69797,                 1.1233,             0.00038799,             0.00038799,             0.00038799
                     33,                 0.5257,                0.49895,                 1.0355,                0.92411,                 0.9179,                0.95951,                0.78579,                0.66432,                0.64911,                 1.1274,             0.00034674,             0.00034674,             0.00034674
                     34,                0.50076,                0.47881,                 1.0103,                 0.8938,                0.94156,                0.96294,                0.78261,                0.66777,                 0.6517,                 1.1402,             0.00030548,             0.00030548,             0.00030548
                     35,                0.48653,                0.46635,                 1.0051,                0.91345,                0.93662,                0.95426,                0.80025,                0.64308,                 0.6665,                  1.105,             0.00026422,             0.00026422,             0.00026422
                     36,                0.48067,                 0.4353,                0.99205,                0.94711,                 0.9179,                0.95576,                0.80159,                0.62401,                0.67562,                 1.0918,             0.00022296,             0.00022296,             0.00022296
                     37,                0.45597,                0.43205,                0.96618,                0.91799,                0.95144,                0.95765,                0.80695,                0.63335,                0.65545,                 1.1058,              0.0001817,              0.0001817,              0.0001817
                     38,                0.45011,                0.42869,                0.97891,                0.93753,                0.92297,                0.95798,                0.81767,                0.60448,                0.64024,                 1.0753,             0.00014044,             0.00014044,             0.00014044
                     39,                 0.4221,                0.40024,                 0.9606,                0.93056,                0.93636,                0.96033,                0.81614,                0.60794,                0.65207,                 1.0808,             9.9187e-05,             9.9187e-05,             9.9187e-05
