                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91979,                 2.6074,                 1.3175,                0.76598,                0.23419,                0.58225,                0.42579,                0.63709,                 3.1604,                 1.2061,             0.00035007,             0.00035007,             0.00035007
                      1,                0.98926,                 2.1083,                 1.3513,                0.71029,                0.47496,                0.60399,                0.35139,                 1.1117,                 3.1567,                 1.6884,             0.00069907,             0.00069907,             0.00069907
                      2,                 1.0543,                 1.8803,                  1.362,                0.66213,                0.28819,                0.41682,                0.22806,                 1.4327,                 3.5005,                  1.782,              0.0010299,              0.0010299,              0.0010299
                      3,                 1.0992,                 1.8528,                 1.3939,                0.34735,                0.41918,                0.32235,                  0.137,                 1.7464,                  4.235,                 2.4533,              0.0013426,              0.0013426,              0.0013426
                      4,                 1.1587,                 1.8199,                 1.4379,                0.72057,                0.28302,                0.40834,                 0.1853,                 1.5482,                 6.3686,                 2.2329,               0.001502,               0.001502,               0.001502
                      5,                 1.2186,                 1.9123,                 1.4959,                0.48961,                0.42877,                0.43105,                0.18496,                 1.6838,                 3.7899,                 2.6525,               0.001502,               0.001502,               0.001502
                      6,                  1.215,                 1.8326,                  1.477,                0.61601,                0.43456,                0.43764,                0.20175,                 1.7698,                 3.4211,                 2.4159,              0.0014607,              0.0014607,              0.0014607
                      7,                 1.1637,                 1.6816,                 1.4239,                0.59481,                0.62729,                0.65359,                0.37996,                 1.3282,                 3.1211,                 1.9878,              0.0014195,              0.0014195,              0.0014195
                      8,                 1.1422,                 1.5501,                 1.4265,                 0.5408,                0.76677,                0.74178,                0.42125,                 1.2049,                 2.7725,                 1.7579,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.2183,                 1.5334,                 1.4588,                0.71287,                0.63895,                0.72241,                0.42196,                 1.1531,                 2.4304,                 1.6066,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.1504,                 1.4964,                 1.4077,                0.67148,                0.51733,                 0.6279,                 0.3365,                 1.2152,                 2.7812,                 1.6777,              0.0012957,              0.0012957,              0.0012957
                     11,                  1.161,                 1.4508,                 1.4314,                0.62814,                0.64584,                0.65044,                0.38246,                 1.3411,                 1.9067,                 1.7814,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.1321,                 1.4109,                 1.3926,                0.61262,                0.83251,                0.78961,                0.48811,                 1.2791,                 1.5592,                 1.6907,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.0906,                 1.2549,                 1.3402,                0.77004,                0.64505,                0.71971,                0.46298,                 1.2019,                 1.9284,                 1.5385,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.1464,                 1.2865,                 1.4171,                0.78828,                0.80065,                0.85353,                 0.5746,                0.94577,                 1.3162,                 1.3869,              0.0011306,              0.0011306,              0.0011306
                     15,                0.99636,                 1.2011,                 1.3214,                0.84214,                0.84645,                0.88614,                0.63036,                0.94174,                  1.151,                 1.3568,              0.0010894,              0.0010894,              0.0010894
                     16,                 0.9905,                 1.1913,                 1.3215,                0.83879,                0.81523,                0.88011,                0.59829,                 1.0333,                  1.172,                 1.4235,              0.0010481,              0.0010481,              0.0010481
                     17,                0.99418,                 1.2035,                 1.3298,                0.85297,                0.74918,                0.82849,                0.54575,                0.98122,                 1.3709,                 1.4209,              0.0010069,              0.0010069,              0.0010069
                     18,                0.98054,                 1.1606,                 1.2992,                0.81296,                0.64087,                 0.7629,                0.53521,                0.90487,                 1.4549,                 1.3775,             0.00096561,             0.00096561,             0.00096561
                     19,                0.91323,                 1.0532,                 1.2446,                0.81759,                0.90985,                0.89894,                0.62215,                0.96971,                 1.0444,                 1.4102,             0.00092435,             0.00092435,             0.00092435
                     20,                0.91601,                0.99158,                 1.2529,                0.77848,                0.79929,                0.84891,                0.61455,                0.92916,                 1.0497,                 1.4516,             0.00088309,             0.00088309,             0.00088309
                     21,                0.92891,                  1.023,                 1.2698,                0.88292,                0.81694,                0.88688,                0.64555,                0.96151,                0.91534,                 1.4087,             0.00084184,             0.00084184,             0.00084184
                     22,                 0.9067,                0.98523,                 1.2344,                   0.86,                0.83273,                0.90367,                 0.6545,                0.84724,                0.93564,                 1.3196,             0.00080058,             0.00080058,             0.00080058
                     23,                0.86402,                0.91321,                 1.2035,                0.92136,                0.83701,                0.91921,                0.69784,                0.78088,                0.86234,                 1.2379,             0.00075932,             0.00075932,             0.00075932
                     24,                0.82241,                 0.9067,                 1.2035,                0.87822,                0.87997,                0.90985,                0.69122,                0.80609,                0.87825,                 1.2776,             0.00071806,             0.00071806,             0.00071806
                     25,                0.84382,                0.92231,                 1.1999,                0.93888,                0.84524,                0.95599,                0.70554,                0.81794,                0.87389,                 1.2787,              0.0006768,              0.0006768,              0.0006768
                     26,                0.81681,                0.90228,                 1.2025,                0.91217,                0.87509,                0.90549,                0.70766,                0.76552,                0.83173,                 1.2296,             0.00063554,             0.00063554,             0.00063554
                     27,                0.83177,                0.92454,                 1.2273,                 0.9205,                0.85468,                0.92823,                0.70234,                 0.8279,                0.79132,                 1.2749,             0.00059429,             0.00059429,             0.00059429
